"","cost1","cost2","target_closed_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
"1",1,1.5,0.6,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",99.39696961967,91.3016976841066,1.08866507568755,4476.55509756897
"2",1,2,0.6,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",106.195959492893,98.4936546179499,1.07820102629779,8862.93693291188
"3",1,4,0.6,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",143.610173055266,119.519872824564,1.2015589513391,11270.5617833911
"4",1,1.5,0.7,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",90.953318805774,86.6833317310773,1.04925960953997,3903.88925985974
"5",1,2,0.7,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",98.9116882454314,87.9317917479224,1.12486833577764,5009.42224331707
"6",1,4,0.7,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",115.39696961967,95.3834367172834,1.20982188932557,12187.1954293583
"7",1,1.5,0.8,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",84.39696961967,77.1038261048049,1.09458860711986,5430.40945368599
"8",1,2,0.8,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",99.8822509939086,92.6498785752038,1.07806132646827,7850.45518783166
"9",1,4,0.8,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",106.953318805774,75.8023746329889,1.4109494501143,11693.4205092173
"10",1,1.5,0.9,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",100.095454429505,96.9381245950219,1.03257056857324,5161.4061843662
"11",1,2,0.9,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",57.3553390593274,53.2353266168247,1.07739245167326,2273.49307183727
"12",1,4,0.9,1,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",87.0416305603426,80.156097709407,1.08590154770131,10333.5242107564
"13",1,1.5,0.6,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",88.2253967444162,81.8413098624405,1.07800567821686,3751.57854584734
"14",1,2,0.6,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",127.509667991878,116.726175299288,1.0923828152935,7503.85523568999
"15",1,4,0.6,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",103.053823869162,89.2748564826626,1.15434320400365,5021.98034202911
"16",1,1.5,0.7,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",95.3675323681471,90.4267659490264,1.05463831828184,7031.66616796799
"17",1,2,0.7,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",114.367532368147,102.800778207171,1.11251621206277,7690.04474985496
"18",1,4,0.7,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",107.053823869162,84.9588135510378,1.26006731255553,7004.99556571826
"19",1,1.5,0.8,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",84.4680374315355,80,1.05585046789419,5989.01910681019
"20",1,2,0.8,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",112.580735803744,108.189648303338,1.04058694680376,11887.1203812144
"21",1,4,0.8,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",83.7695526217005,67,1.25029183017463,6610.96985208849
"22",1,1.5,0.9,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",83.0538238691624,78.2432105680742,1.06148282088837,6027.56377390926
"23",1,2,0.9,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",106.468037431535,96.6022774058666,1.10212761324683,7903.05456227214
"24",1,4,0.9,2,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",110.01219330882,91.7877987534291,1.1985492059173,14791.8065879067
"25",1,1.5,0.6,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",87.4680374315355,82.2009732302483,1.06407544818884,3417.86607154691
"26",1,2,0.6,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",80.9116882454314,68.60029154457,1.17946566149595,3320.84655814721
"27",1,4,0.6,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",107.740115370178,93.4772699644143,1.15258089384931,5726.7229975839
"28",1,1.5,0.7,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"29",1,2,0.7,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",122.982756057297,105.209315176937,1.16893409913818,7433.41040894574
"30",1,4,0.7,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",85.4264068711929,72.0069441095788,1.1863634532413,6587.43635946218
"31",1,1.5,0.8,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",88.7817459305202,85.5862138431184,1.03733699557337,6729.18107477178
"32",1,2,0.8,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",98.8111831820431,89.0056178002265,1.11016793798146,5767.37928814959
"33",1,4,0.8,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",106.497474683058,82.0792300158816,1.29749602502913,11315.4283922876
"34",1,1.5,0.9,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",95.539105243401,89.196412483911,1.07110928099977,4743.05231844489
"35",1,2,0.9,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",107.811183182043,96.2548700066651,1.12005951672448,8024.51377348411
"36",1,4,0.9,3,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",91.1126983722081,72.1110255092798,1.26350579164185,9437.51916012251
"37",1,1.5,0.6,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",117.681240867132,109.635760589326,1.07338372292543,5848.49384748238
"38",1,2,0.6,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",127.367532368147,111.287914887467,1.14448664526548,7434.57577578474
"39",1,4,0.6,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",112.811183182043,93.4772699644143,1.20683010131756,7525.71074480437
"40",1,1.5,0.7,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",110.02438661764,101.911726508778,1.07960477549326,5426.86432357568
"41",1,2,0.7,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",111.225396744416,97.082439194738,1.14567987441383,6508.03950948834
"42",1,4,0.7,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",99.7401153701776,81.6333265278342,1.221806333424,6983.89234715989
"43",1,1.5,0.8,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"44",1,2,0.8,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",90.1543289325507,79.9312204335703,1.12789881655162,7440.5606238831
"45",1,4,0.8,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",90.3259018078045,65.1920240520265,1.38553608545303,5611.00305501391
"46",1,1.5,0.9,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"47",1,2,0.9,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",105.195959492893,98.2344135219425,1.07086667208937,7086.16209036463
"48",1,4,0.9,4,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",105.225396744416,91.8095855561934,1.14612647586794,15082.9860213319
"49",1,1.5,0.6,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",88.7401153701776,82.2982381342395,1.07827478913255,5676.76488810978
"50",1,2,0.6,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",100.840620433566,87.3212459828649,1.15482342582874,4712.47019955949
"51",1,4,0.6,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",120.882250993909,101.513545894132,1.19079921727861,9791.59749676574
"52",1,1.5,0.7,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",83.4974746830583,75.1531769122237,1.11103053940861,4698.57966365536
"53",1,2,0.7,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",71.6690475583121,64.6606526413088,1.10838732104795,4114.29607658784
"54",1,4,0.7,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",124.882250993909,108.466584716216,1.15134307326668,9003.9538756872
"55",1,1.5,0.8,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",104.982756057297,93.150415994777,1.1270240174041,5875.06264994284
"56",1,2,0.8,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"57",1,4,0.8,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",123.982756057297,84.0119039184329,1.47577605404196,12941.0456782825
"58",1,1.5,0.9,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",95.8528137423857,92.7631392310545,1.03330713618515,4465.12220281963
"59",1,2,0.9,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",116.308657865101,114.58621208505,1.01503187642483,15979.9163339049
"60",1,4,0.9,5,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",100.669047558312,85.7554662980734,1.1739082288749,14619.1417367473
"61",1,1.5,0.6,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",90.9827560572969,81.8352002502591,1.11178020923837,5745.58011795732
"62",1,2,0.6,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",111.053823869162,99.569071503153,1.11534457630898,8329.27844467669
"63",1,4,0.6,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",148.195959492893,105.759160359753,1.40125885066396,12707.3053721833
"64",1,1.5,0.7,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"65",1,2,0.7,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",106.953318805774,97.2008230417829,1.10033346898512,6194.75420248434
"66",1,4,0.7,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",120.568542494924,90.5207158610668,1.33194420026434,9511.44462610353
"67",1,1.5,0.8,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",113.195959492893,104.201727432898,1.08631557538993,10099.0953303863
"68",1,2,0.8,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"69",1,4,0.8,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",77.5979797464467,61.8546683767685,1.25452098900252,4816.76559621888
"70",1,1.5,0.9,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",106.539105243401,99.6443676280802,1.0691934504623,9919.19735063985
"71",1,2,0.9,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",112.752308678997,107.814655775548,1.04579760393363,14503.0628022876
"72",1,4,0.9,6,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",105.426406871193,87,1.21179778012865,11617.5240200275
"73",1,1.5,0.6,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",102.539105243401,94.8103369891701,1.08151820254698,7212.35275532828
"74",1,2,0.6,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",108.39696961967,91.2852671574116,1.18745305781656,6803.06581894227
"75",1,4,0.6,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",101.669047558312,81.7863069223693,1.24310598416939,7650.15470018683
"76",1,1.5,0.7,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"77",1,2,0.7,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",69.4264068711929,62.00806399171,1.11963513133509,2396.07758322669
"78",1,4,0.7,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",84.9116882454314,74.027022093287,1.14703639082534,5204.35076120258
"79",1,1.5,0.8,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",90.0832611206852,81.939001702486,1.09939417431238,5654.34122191803
"80",1,2,0.8,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",124.468037431535,107.935165724615,1.15317409850561,13105.2752673202
"81",1,4,0.8,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",80.254833995939,67.1788657242737,1.19464407638756,6484.4773685686
"82",1,1.5,0.9,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",114.367532368147,104.623133197205,1.09313809358563,6526.7212285866
"83",1,2,0.9,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",90.5685424949238,81.6088230524127,1.10978861239987,7959.76105630869
"84",1,4,0.9,7,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",70.4264068711929,62.3698645180507,1.12917363883018,5769.94299707373
"85",1,1.5,0.6,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",85.3259018078045,78.2623792124926,1.09025438104985,5009.31804847288
"86",1,2,0.6,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"87",1,4,0.6,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",116.639610306789,94.175368329516,1.23853627945124,9258.06152342553
"88",1,1.5,0.7,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",79.6396103067893,74.9666592559653,1.0623337240475,3057.82646124012
"89",1,2,0.7,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",119.953318805774,105.89145385724,1.13279508814273,11077.0343597366
"90",1,4,0.7,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",72.5269119345812,56.3205113613149,1.28775307932303,4408.12162851963
"91",1,1.5,0.8,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",86.539105243401,83.0963296421689,1.04143113920985,6199.51615437576
"92",1,2,0.8,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",106.39696961967,91.0659101969557,1.16835124570277,6575.16904330683
"93",1,4,0.8,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",115.811183182043,95.9009906101079,1.20761195943097,15107.4354457565
"94",1,1.5,0.9,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",86.539105243401,83.240615086627,1.03962597048738,3890.41112116044
"95",1,2,0.9,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",113.195959492893,103.392456204503,1.09481836149632,12735.1846447609
"96",1,4,0.9,8,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"97",1,1.5,0.6,9,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",NA,NA,NA,NA
"98",1,2,0.6,9,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",54.4264068711929,51.2249938994628,1.06249708839426,2508.77241209668
"99",1,4,0.6,9,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",135.267027304759,115.260574352204,1.17357585683566,9571.00168084784
"100",1,1.5,0.7,9,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",114.367532368147,103.276328362312,1.10739347710857,6047.07511808487
