"cost0","cost1","c1_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
1,1,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",93.2964645562817,87.9204185613331,1.0611467288591,5144.28238946712
1,1.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",109.681240867132,104.403065089105,1.05055575498211,7483.20450818246
1,2,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",93.7106781186548,88.4816365128946,1.05909747843552,3599.82241082123
1,2.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",109.16652224137,105.759160359753,1.03221812531441,7881.01873976718
1,3,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",104.610173055266,99.0454441153151,1.05618359319458,6691.7705550958
1,3.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",92.6101730552664,89.196412483911,1.0382723976928,5462.54103893069
1,4,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",88.3259018078045,81.8413098624405,1.07923372629621,4305.55031305902
1,4.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.468037431535,100.647901120689,1.07769795717319,4878.29137105519
1,5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",85.7106781186548,82.0060973342836,1.04517445537336,2597.6483374085
1,5.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",78.39696961967,70.6045324324154,1.1103673789599,2576.68648853117
1,6,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA
1,1,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",101.053823869162,94.0212741883453,1.07479743006598,5731.52207156141
1,1.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",110.509667991878,105.603030259553,1.04646303917857,4310.15510372737
1,2,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",116.509667991878,110,1.05917879992616,8649.17899589781
1,2.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",116.237590053236,111.018016555873,1.04701555350466,5195.13020385241
1,3,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.296464556282,98.4123975929862,1.10043518098374,4720.09826434555
1,3.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",93.7106781186548,84.9058301885094,1.10370133488592,5090.61279724691
1,4,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",115.852813742386,108.466584716216,1.06809681567365,8496.20541678638
1,4.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",124.16652224137,115.108644332213,1.07868981484149,5788.00380583105
1,5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",85.0121933088198,73.3757453113766,1.15858711823727,3547.18407556265
1,5.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",107.610173055266,98.8584847142621,1.08852743764281,4234.60152763584
1,6,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA
1,1,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",110.580735803744,107.168092266308,1.03184383957265,4769.07632870646
1,1.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",101.639610306789,93.4772699644143,1.08731898509105,6018.58569468067
1,2,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.438600180013,101.414989030222,1.06925614464838,4201.99816777859
1,2.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA
1,3,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",99.3675323681471,93.2362590412121,1.06576061062494,6384.47539036719
1,3.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",104.539105243401,95.6713123146118,1.09269019849574,4483.87972142548
1,4,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA
1,4.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",78.8111831820431,71.0633520177595,1.1090270996835,3182.91747422915
1,5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.852813742386,97.5909831900468,1.11539826922747,7355.25766443996
1,5.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",125.02438661764,113.229854720387,1.10416450613999,5867.79934014905
1,6,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",110.639610306789,96.8968523740581,1.14182873432956,5192.04247222845
1,1,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",84.2964645562817,80.6039701255465,1.04581032950342,2530.02092041053
1,1.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",94.7106781186548,88.4081444212014,1.07128906209621,3365.48932548885
1,2,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",102.882250993909,93.6002136749698,1.09916683899004,6662.27019615831
1,2.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",85.7106781186548,81.344944526381,1.05366939049123,2739.97015768777
1,3,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",77.0538238691624,73.5527021937332,1.0476001774375,2561.57874889305
1,3.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",92.0832611206852,75.8023746329889,1.21478069211582,4835.01483543727
1,4,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",77.1543289325507,60.8111831820431,1.26875230665358,2769.97426895166
1,4.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",93.5685424949238,78.0320446995976,1.19910407134835,5874.25162323574
1,5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",119.195959492893,105.261578935526,1.1323786009889,9253.80042562321
1,5.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",119.438600180013,110,1.08580545618193,6394.33745696169
1,6,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",102.710678118655,86.2670273047588,1.19061339340934,5862.68873883544
1,1,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",120.722871427475,118.258192105241,1.0208415102443,5022.64696324244
1,1.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.225396744416,99.2975326984513,1.08991023042916,7181.1344320222
1,2,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",118.438600180013,106.831643252362,1.10864718143698,9026.10706153417
1,2.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",109.296464556282,96.260064408871,1.13542895724688,4620.84937757252
