"cost0","cost1","c1_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost","cells_open","cells_closed"
1,1,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",109.894444302728,109.603832049797,1.00265147894464,4356.77777210913,12,67
1,1.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.78174593052,102.083299319722,1.06561745805079,4897.89847970805,0,87
1,2,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",100.053823869162,93.150415994777,1.07411032791064,4283.90439689371,3,79
1,2.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",91.1959594928933,88.090862182181,1.03524880145106,3134.8823198661,1,68
1,3,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",71.8111831820431,68.6221538571911,1.04647230006054,3202.96265865212,4,94
1,3.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",117.16652224137,112.004464196745,1.04608796695422,5245.83881157446,1,89
1,4,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",103.16652224137,101.118742080783,1.02025124243487,3587.7249163146,1,75
1,4.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",120.823376490863,115.745410276175,1.04387185809417,5080.76853739314,0,92
1,5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",113.923881554251,108.07404868885,1.05412800701344,4633.87240954578,2,86
1,5.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",100.882250993909,94.1541289588513,1.07145859782737,6147.91513990419,5,125
1,6,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",104.367532368147,98.1835016690686,1.06298441789051,4457.17351623952,0,83
1,1,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",98.7523086789974,97.6217188949262,1.01158133453159,3216.19371877506,16,56
1,1.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",81.539105243401,79.3977329651168,1.0269701942148,2509.01722652413,2,59
1,2,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",92.0538238691624,85,1.08298616316662,3455.60165621427,3,71
1,2.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",86.6396103067893,80.4549563420427,1.07687101262542,3070.97737287903,2,68
1,3,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",103.78174593052,97.0051545022222,1.06985805510101,6984.64173313981,6,131
1,3.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,4,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",119.509667991878,107.335921293852,1.11341726563932,9127.7638877489,6,149
1,4.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",96.0538238691624,89.044932477935,1.07871185025565,5569.59762061001,4,120
1,5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",99.2964645562817,92.3579991121505,1.07512576615812,6373.10680171452,8,121
1,5.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",100.953318805774,93.4344690143846,1.08047190582559,6295.934686317,9,124
1,6,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",88.6396103067893,81.2711510931154,1.09066512673398,4467.56093104066,9,107
1,1,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",85.8528137423857,85.5628424025289,1.00338898675774,5006.36565058781,36,86
1,1.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",87.539105243401,83.868945385047,1.04376065349939,2651.60242124319,3,64
1,2,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",97.2964645562817,90.2108640907513,1.07854486859146,5745.01971544923,13,114
1,2.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",111.124891681028,99.7647232241938,1.11386959327602,7426.1599099297,11,128
1,3,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",113.610173055266,104.847508315649,1.08357532649453,7959.21463918559,16,131
1,3.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.568542494924,96.3846460801719,1.12640910051812,7292.80393171227,14,119
1,4,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",91.8822509939086,85.4283325366942,1.07554775173028,3073.37357571024,5,68
1,4.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",116.610173055266,101.911726508778,1.14422723517712,9083.1244582062,19,130
1,5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",105.296464556282,97.7547952787995,1.07714884222276,3941.57854464483,2,84
1,5.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",106.083261120685,92.1303424502482,1.15144759369555,6446.26455328452,13,114
1,6,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",103.882250993909,94.0212741883453,1.10488027194579,7076.99115061462,15,116
1,1,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,1.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",100.02438661764,95.4253635046784,1.04819497609496,3916.77945445126,20,57
1,2,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",103.610173055266,97,1.06814611397182,7139.75855577121,19,119
1,2.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",86.7401153701776,75.5843899227876,1.14759298128603,4341.24306409796,14,93
1,3,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",97.4680374315355,89.6939239859646,1.08667380241707,5571.04584543442,16,109
1,3.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,4,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",115.568542494924,99.3227063666713,1.16356618463735,7604.73951854983,20,119
1,4.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",127.923881554251,111.400179533069,1.14832742721278,10588.2262241888,20,142
1,5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",131.78174593052,116.043095443029,1.13562763409063,10984.8604059697,21,144
1,5.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",118.053823869162,85.7962703152066,1.37597850623861,8979.26245454402,27,110
1,6,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",95.0538238691624,78.5493475466219,1.21011602054039,4458.98494700779,10,73
1,1,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",87.8822509939086,83.2346081867393,1.05583786490281,4679.15331370399,52,65
1,1.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",86.3259018078045,80.0624756049924,1.07823173284966,4714.60146803624,35,74
1,2,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",98.6396103067893,90.1387818865997,1.09430822385512,4543.82409436586,11,70
1,2.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",103.740115370178,89.3196506934504,1.1614478400304,5452.10546451819,21,73
1,3,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,3.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",122.681240867132,111.521298414249,1.10007005488251,7362.22226811667,15,84
1,4,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",111.225396744416,97.3087868591526,1.14301493559268,5275.60827895814,9,85
1,4.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",131.124891681028,112.538882169675,1.16515189375465,13571.6391250867,32,129
1,5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",139.367532368147,111.39569111954,1.25110344006565,9710.43707733717,14,110
1,5.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",124.710678118655,99.3579387869938,1.25516571339119,6721.13404200945,12,100
1,6,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",111.39696961967,79.1959594928933,1.40659915395894,5781.0392660494,12,94
1,1,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,1.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",90.8111831820431,83.0060238777885,1.09403123941639,6013.51266353507,51,66
1,2,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",100.367532368147,93.38094023943,1.07481818142764,6936.81615522605,26,107
1,2.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",104.811183182043,91.5860251348425,1.14440148513629,7225.39718170245,23,106
1,3,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,3.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",115.438600180013,102.800778207171,1.12293508077704,10224.6353764226,40,108
1,4,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",134.195959492893,112.698713391059,1.19074970294683,12192.2023566707,34,130
1,4.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",103.154328932551,88.2043082847998,1.16949308869902,7711.44234673474,32,93
1,5.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,6,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",124.78174593052,97.9438614717635,1.27401293001393,9816.08667756046,24,88
1,1,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",109.195959492893,102.62553288534,1.06402331294001,5042.45901297626,45,42
1,1.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",73.4974746830583,66.4680374315355,1.10575665422292,3621.61190105704,46,49
1,2,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",134.953318805774,113.27841806805,1.19134183816641,12050.264060209,48,116
1,2.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",125.852813742386,114.109596441316,1.10291174158265,12632.3320919055,55,107
1,3,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,3.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",85.4974746830583,69.5269731830748,1.22970224027919,6187.31390023589,41,62
1,4,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",132.39696961967,107.335921293852,1.23348239828499,14896.6307714787,50,105
1,4.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",135.124891681028,101.019800039398,1.33760799000125,12238.7358078047,29,98
1,5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",134.02438661764,114.560027932957,1.16990532418579,13404.8943862408,30,83
1,5.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",123.681240867132,93.8616002420585,1.31769797817395,12801.752685416,46,101
1,6,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",124.539105243401,92.6984358012583,1.34348658817078,11702.3886242044,37,111
1,1,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",110.539105243401,103.077640640442,1.07238683924661,7110.77726449485,109,33
1,1.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",67.4974746830583,62.3698645180507,1.0822129437771,3424.76598489173,52,37
1,2,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",118.296464556282,104.484448603608,1.13219207391402,10778.9876289835,68,80
1,2.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",123.39696961967,97.6729235765982,1.26336926449118,12111.6649312811,58,88
1,3,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",120.225396744416,103.479466562212,1.1618285321575,13210.6822433412,70,77
1,3.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",73.5979797464467,60.2162768692984,1.22222733740569,4217.37506902403,29,37
1,4,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",133.923881554251,106.103722837608,1.26219776245949,17704.572884582,63,100
1,4.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",121.195959492893,97.9081201943945,1.23785401305082,14748.5877577946,60,86
1,5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",119.639610306789,97.1699542039616,1.23124078103056,11214.6492244883,43,67
1,5.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",135.195959492893,113.569362065656,1.19042633535914,16754.3343173443,44,73
1,6,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",104.497474683058,79.0759128938769,1.32148300106631,13644.2964609122,53,52
1,1,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,1.5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",121.894444302728,118.258192105241,1.03074841694055,13233.0204025927,132,36
1,2,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,2.5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",129.752308678997,111.072048689128,1.16818146608741,10545.7001344647,65,44
1,3,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,3.5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",94.7695526217005,81.939001702486,1.15658661507497,10724.3081206329,73,37
1,4,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",120.39696961967,98.7167665596883,1.21962027136366,17537.1774327034,87,56
