"cost0","cost1","c1_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost","cells_open","cells_closed"
1,1,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,1.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",99.1665222413705,98.3107318658548,1.0087049537652,6670.1620408057,4,136
1,2,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,2.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",128.551298552221,123.069086288962,1.04454581104459,6096.68491369082,1,96
1,3,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,3.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",80.0538238691624,76.2167960491649,1.05034359903455,3966.21034513463,3,105
1,4,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",127.036579926459,125.865007051205,1.00930816994097,5683.92322526319,0,92
1,4.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,5.5,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",100.639610306789,89.3588272080604,1.12624139607901,4056.25994164486,2,82
1,6,0.1,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",111.066017177982,109.622078068243,1.01317197352198,8276.54369225153,2,154
1,1,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",75.6396103067893,72.6223106214612,1.04154783370988,3519.06377646015,24,79
1,1.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",93.539105243401,87.6584280032445,1.0670862730956,3130.39421768005,3,71
1,2,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,2.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",115.16652224137,109.786155775671,1.04900769525707,4537.20872564406,1,87
1,3,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",97.1959594928933,92.1954445729289,1.05423819954585,5928.40789389279,5,126
1,3.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",74.5685424949238,68.60029154457,1.08700037297183,1944.41405946009,3,57
1,4,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",111.580735803744,107.935165724615,1.03377555456236,8292.46160752981,8,145
1,4.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",90.953318805774,86.278618440492,1.05418144668724,3295.13910153301,5,65
1,5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",88.2964645562817,83.815273071201,1.05346509437813,2814.43780371514,6,63
1,5.5,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",115.367532368147,105.437185091409,1.09418259097233,8325.25654209558,17,131
1,6,0.2,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,1,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",86.8822509939086,82.4196578493262,1.05414476668589,2759.09913089733,19,49
1,1.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",84.4680374315355,80,1.05585046789419,2973.91670659307,8,58
1,2,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",76.7401153701776,70.0071424927486,1.09617551349316,3754.70790925856,16,84
1,2.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",97.0538238691624,86.6833317310773,1.11963651985895,3506.23725750885,5,75
1,3,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",74.5979797464467,64.0702739185654,1.16431498078598,2474.5785694243,4,61
1,3.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,4,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",117.852813742386,109.622078068243,1.07508282837896,5283.18469942157,5,89
1,4.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",95.539105243401,86.0929730001235,1.10972013062278,3394.03607231218,0,79
1,5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",112.710678118655,100.767058109285,1.11852702890677,7454.01026196955,16,127
1,5.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",123.095454429505,110.34491379307,1.11555168424298,9430.27975648287,16,143
1,6,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",60.6690475583121,55.1724568965349,1.09962562791222,2753.89316389254,11,69
1,1,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.066017177982,107.489534374282,1.00536315286,4245.64068711928,23,55
1,1.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",79.2964645562817,76.694197955256,1.03393042329674,2656.82189464356,19,41
1,2,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,2.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",114.953318805774,104.201727432898,1.1031805483244,9017.0047869617,23,124
1,3,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",122.852813742386,108.977061806602,1.12732727149873,6738.2007871116,11,89
1,3.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",91.6396103067893,84.2021377400835,1.088328785543,3367.18624052493,3,71
